key:value
{'Released': '26 Apr 2019'}
{'Released': '19 Jul 2019'}
{'Released': '21 Jun 2019'}
{'Released': '08 Mar 2019'}
{'Released': '02 Jul 2019'}
{'Released': '24 May 2019'}
{'Released': '04 Oct 2019'}
{'Released': '06 Sep 2019'}
{'Released': '22 Mar 2019'}
{'Released': '02 Aug 2019'}
{'Released': '17 May 2019'}
{'Released': '22 Feb 2019'}
{'Released': '07 Jun 2019'}
{'Released': '10 May 2019'}
{'Released': '05 Apr 2019'}
{'Released': '26 Jul 2019'}
{'Released': '29 Mar 2019'}
{'Released': '18 Jan 2019'}
{'Released': '31 May 2019'}
{'Released': '11 Jan 2019'}
{'Released': '08 Feb 2019'}
{'Released': '13 Sep 2019'}
{'Released': '31 May 2019'}
{'Released': '20 Sep 2019'}
{'Released': '14 Feb 2019'}
{'Released': '16 Aug 2019'}
{'Released': '14 Jun 2019'}
{'Released': '26 Jun 2019'}
{'Released': '28 Jun 2019'}
{'Released': '01 Mar 2019'}
{'Released': '23 Aug 2019'}
{'Released': '09 Aug 2019'}
{'Released': '07 Jun 2019'}
{'Released': '11 Oct 2019'}
{'Released': '09 Aug 2019'}
{'Released': '04 Jan 2019'}
{'Released': '27 Sep 2019'}
{'Released': '19 Apr 2019'}
{'Released': '05 Apr 2019'}
{'Released': '08 Feb 2019'}
{'Released': '20 Sep 2019'}
{'Released': '13 Feb 2019'}
{'Released': '18 Oct 2019'}
{'Released': '15 Mar 2019'}
{'Released': '31 May 2019'}
{'Released': '15 Mar 2019'}
{'Released': '20 Sep 2019'}
{'Released': '11 Jan 2019'}
{'Released': '14 Aug 2019'}
{'Released': '17 Apr 2019'}
{'Released': '12 Apr 2019'}
{'Released': '11 Oct 2019'}
{'Released': '12 Jul 2019'}
{'Released': '03 May 2019'}
{'Released': '10 May 2019'}
{'Released': '18 Oct 2019'}
{'Released': '23 Aug 2019'}
{'Released': '08 Feb 2019'}
{'Released': '16 Jan 2019'}
{'Released': '03 May 2019'}
{'Released': '21 Jun 2019'}
{'Released': '21 Aug 2019'}
{'Released': '13 Feb 2019'}
{'Released': '03 Jul 2019'}
{'Released': '09 Aug 2019'}
{'Released': '22 Feb 2019'}
{'Released': '24 May 2019'}
{'Released': '17 May 2019'}
{'Released': '12 Jul 2019'}
{'Released': '16 Aug 2019'}
{'Released': '12 Apr 2019'}
{'Released': '14 Jun 2019'}
{'Released': '04 Oct 2019'}
{'Released': '03 May 2019'}
{'Released': '23 Aug 2019'}
{'Released': '29 Mar 2019'}
{'Released': '09 Aug 2019'}
{'Released': '24 May 2019'}
{'Released': '25 Jan 2019'}
{'Released': '12 Apr 2019'}
{'Released': '14 Jun 2019'}
{'Released': '01 Feb 2019'}
{'Released': '08 Feb 2019'}
{'Released': '10 May 2019'}
{'Released': '09 Aug 2019'}
{'Released': '12 Apr 2019'}
{'Released': '16 Aug 2019'}
{'Released': '01 Mar 2019'}
{'Released': '05 Apr 2019'}
{'Released': '29 Mar 2019'}
{'Released': '16 Aug 2019'}
{'Released': '25 Jan 2019'}
{'Released': '21 Jun 2019'}
{'Released': '17 Apr 2019'}
{'Released': '22 Feb 2019'}
{'Released': '11 Oct 2019'}
{'Released': '30 May 2019'}
{'Released': '18 Oct 2019'}
{'Released': '13 Sep 2019'}
{'Released': '10 May 2019'}
